Code,Description,Work Type,Labor Hours,FRT
18107542,Sensor - Temperature - Cabin - RH (Remove and Replace),Remove and Replace,0.24,0.24
18107601,Sensor - Temperature - Evaporator (Remove & Install),Remove and Install,0.1,0.1
18107602,Sensor - Temperature - Evaporator (Remove & Replace),Remove and Replace,0.12,0.12
18107701,Sensor - Temperature - Evaporator - Rear (Remove & Install),Remove and Install,0.3,0.3
18107702,Sensor - Temperature - Evaporator - Rear (Remove & Replace),Remove and Replace,0.42,0.42
18200102,A/C Refrigerant (Recovery & Recharge),Restore,1.14,1.14
18200200,Diagnosis: Detecting Refrigerant Leaks (Add Refrigerant Part if Needed),Test/Adjust,2.34,2.34
18200402, Hose Coupler To DCDC,Remove and Replace,2.4,2.4
18200408,Use HVAC Cleaning Machine,Maintenance,0.24,0.24
18201001,Condenser (Add Refrigerant Part if Needed) (Remove & Install),Remove and Install,2.1,2.1
18201002,Condenser (Add Refrigerant Part if Needed) (Remove & Replace),Remove and Replace,1.5,1.5
18201011,Evaporator (Remove & Install),Remove and Install,6.25,6.25
18201012,Evaporator (Remove & Replace),Remove and Replace,6.25,6.25
18201022,Support Beam - Condenser (Remove and Replace),Remove and Replace,1.8,1.8
18201028,"Use Evaporator Foam Cleaner, Replace Cabin Filters",Restore,1.56,1.56
18201111,EXV Coil (Add Refrigerant Part if Needed) (Remove & Install),Remove and Install,0.65,0.65
18201301,Module - Cooling Fan (Add Refrigerant Part if Needed) (Remove & Install),Remove and Install,1.44,1.44
18201302,Module - Cooling Fan (Add Refrigerant Part if Needed) (Remove & Replace),Remove and Replace,1.44,1.44
18201501,Fan - Condenser (Add Refrigerant Part if Needed) (Remove & Install),Remove and Install,1.5,1.5
18201502,Fan - Condenser (Add Refrigerant Part if Needed) (Remove & Replace),Remove and Replace,1.5,1.5
18202002,Receiver Dryer and Desiccant (Remove & Replace),Remove and Replace,0.42,0.42
18202032,Receiver Dryer and Desiccant - Non-Heat Pump (Add-On),Remove and Replace,0.3,0.3
18202101,A/C Line - Suction Liquid Jumper (Remove & Install),Remove and Install,2.4,2.4
18202102,A/C Line - Suction Liquid Jumper (Remove and Replace),Remove and Replace,1.74,1.74
18203201,Mounting - A/C Compressor (Remove & Install),Remove and Install,0.78,0.78
18203202,Mounting - A/C Compressor (Remove & Replace),Remove and Replace,0.78,0.78
18203901,A/C Compressor (Remove & Install),Remove and Install,1.74,1.74
18203902,A/C Compressor (Remove & Replace),Remove and Replace,2.52,2.52
18204001,Pipes - High/Low Pressure - Condenser to Chiller (Remove & Install),Remove and Install,2.22,2.22
18204002,Pipes - High/Low Pressure - Condenser to Chiller (Remove & Replace),Remove and Replace,2.22,2.22
18204101,Pipes - High/Low Pressure - Charge Port (with Rear HVAC) (Remove & Install),Remove and Install,1.2,1.2
18204102,Pipes - High/Low Pressure - Charge Port (with Rear HVAC) (Remove & Replace),Remove and Replace,0.12,0.12
18204201,Pipe - High Pressure - A/C Compressor to Condenser (Remove & Install),Remove and Install,1.74,1.74
18204202,Pipe - High Pressure - A/C Compressor to Condenser (Remove & Replace),Remove and Replace,1.74,1.74
18204401,Pipes - High/Low Pressure - Charge Port (without Rear HVAC) (Remove & Install),Remove and Install,1.85,1.85
18204402,Pipes - High/Low Pressure - Charge Port (without Rear HVAC) (Remove & Replace),Remove and Replace,1.02,1.02
18205001,TXV Valve­ Evaporator (Remove & Install),Remove and Install,1.4,1.4
18205002,TXV Valve­ Evaporator (Remove & Replace),Remove and Replace,0.36,0.36
18205011,A/C Line - Suction Liquid - TXV (RHD) (Remove & Install),Remove and Install,0.85,0.85
18205012,A/C Line - Suction Liquid - TXV (RHD) (Remove & Replace),Remove and Replace,0.96,0.96
18205201,TXV Valve - Evaporator - Rear (Add Refrigerant Part if Needed) (Remove & Install),Remove and Install,1.8,1.8
18205202,TXV Valve - Evaporator - Rear (Add Refrigerant Part if Needed) (Remove & Replace),Remove and Replace,2.16,2.16
18205432,Desiccant Bag (Add-on to Other A/C Service Procedures) (Non-Heat Pump),Remove and Replace,0.36,0.36
18205501,Sensor - Pressure and Temperature - High Pressure (Remove & Install),Remove and Install,1.08,1.08
18205502,Sensor - Pressure and Temperature - High Pressure (Remove and Replace),Remove and Replace,1.08,1.08
18205601,Sensor - Pressure and Temperature - Low Pressure (Remove & Install),Remove and Install,1.08,1.08
18205602,Sensor - Pressure and Temperature - Low Pressure (Remove and Replace),Remove and Replace,1.08,1.08
18206001,Battery Chiller and EXV Assembly (Remove & Install),Remove and Install,0.85,0.85
18206002,Battery Chiller and EXV Assembly (Remove & Replace),Remove and Replace,0.6,0.6
18206011,EXV - Battery Chiller (Remove & Install),Remove and Install,0.85,0.85
18206102,Chiller Bracket - Air Conditioning Pipes and Hoses (Remove & Replace),Remove and Replace,0.96,0.96
18206201,Battery Chiller (Remove & Install),Remove and Install,2.64,2.64
18206202,Battery Chiller (Remove & Replace),Remove and Replace,1.2,1.2
18207001,Pipes - High/Low Pressure - Charge Port to Rocker (Remove & Install),Remove and Install,0.36,0.36
18207002,Pipes - High/Low Pressure - Charge Port to Rocker (Remove & Replace),Remove and Replace,0.36,0.36
18207201,Pipes - High/Low Pressure - Rocker to Rear HVAC (Add Refrigerant Part if Needed) (Remove & Install),Remove and Install,1.4,1.4
18207202,Pipes - High/Low Pressure - Rocker to Rear HVAC (Add Refrigerant Part if Needed) (Remove & Replace),Remove and Replace,0.36,0.36
18207401,Pipes - High/Low Pressure - Rocker (Add Refrigerant Part if Needed) (Remove & Install),Remove and Install,1.38,1.38
18207402,Pipes - High/Low Pressure - Rocker (Add Refrigerant Part if Needed) (Remove & Replace),Remove and Replace,1.38,1.38
18208022,A/C Refrigerant Flush Due To Compressor Failure (Standard HVAC),Test/Adjust,3.18,3.18
18208032,A/C Refrigerant Flush Due To Compressor Failure (Dual HVAC),Test/Adjust,4.2,4.2
18208062,A/C Refrigerant Flush Due To Compressor Failure (Dual HVAC) (Europe),Test/Adjust,5.1,5.1
18300000,Cooling System (Partial Refill and Bleed),Modify,0.72,0.72
18300051,Hose - Battery Coolant Pump 1 to Battery Coolant Pump 2 (2nd Generation) (Remove & Install),Remove and Install,0.7,0.7
18300052,Hose - Battery Coolant Pump 1 to Battery Coolant Pump 2 (2nd Generation) (Remove and Replace),Remove and Replace,0.84,0.84
18300100,Cooling System - Drain and Refill,Test/Adjust,1.08,1.08
18300200,Cooling System (Check and Fill),Test/Adjust,0.15,0.15
18300400,Cooling System - Vacuum Refill,Test/Adjust,0.48,0.48
18300701,Hose - 3-Way Valve to 4-Way Valve (Remove and Install),Remove and Install,1.08,1.08
18300702,Hose - 3-Way Valve to 4-Way Valve (Remove and Replace),Remove and Replace,1.08,1.08
18300900,Thermal System Test,Test/Adjust,0.1,0.1
18301000,Clean Radiator,Maintenance,0.96,0.96
18301001,Radiator (Remove & Install),Remove and Install,2.04,2.04
18301002,Radiator (Remove & Replace),Remove and Replace,2.04,2.04
18301100,Clean Radiator (Non-Heat Pump),Maintenance,0.9,0.9
18301101,Hose - Radiator to 3-Way Valve (Remove & Install),Remove and Install,0.84,0.84
18301102,Hose - Radiator to 3-Way Valve (Remove & Replace),Remove and Replace,0.84,0.84
18301300,Remove and Clean Radiator (Non-Heat Pump),Maintenance,1.38,1.38
18301501,Superbottle (Remove & Install),Remove and Install,1.38,1.38
18301502,Superbottle (Remove & Replace),Remove and Replace,1.38,1.38
18301721,Hose - Inlet - Small Rear Drive Unit (Remove & Install),Remove and Install,3.5,3.5
18301722,Hose - Inlet - Small Rear Drive Unit (Remove & Replace),Remove and Replace,3.3,3.3
18301791,Sensor - Coolant - Cooling System (Remove & Install),Remove and Install,0.2,0.2
18301792,Sensor - Coolant - Cooling System (Remove and Replace),Remove and Replace,0.18,0.18
18302001,Hose - Cabin - Front (Remove & Install),Remove and Install,2.4,2.4
18302002,Hose - Cabin - Front (Remove & Replace),Remove and Replace,2.88,2.88
18302101,Hose - Cabin - Mid - LH (Remove & Install),Remove and Install,2.1,2.1
18302102,Hose - Cabin - Mid - LH (Remove & Replace),Remove and Replace,2.52,2.52
18302111,Hose - Cabin - Mid - RH (Remove & Install),Remove and Install,2.4,2.4
18302112,Hose - Cabin - Mid - RH (Remove & Replace),Remove and Replace,2.88,2.88
18302521,Hose - Outlet - Small Rear Drive Unit (Remove & Install),Remove and Install,3.1,3.1
18302522,Hose - Outlet - Small Rear Drive Unit (Remove & Replace),Remove and Replace,3.3,3.3
18304101,Hose - Reservoir to 4 Way Coolant Valve (Remove & Install),Remove and Install,0.9,0.9
