Code,Description,Work Type,Labor Hours,FRT
11500102507,Front Door Glass Bolt Torque ,Modify,0.18,0.18
11500102607,Lubricate Front Door Regulator,Modify,0.6,0.6
11500102707,Rear Door Glass Bolt Torque,Modify,0.12,0.12
11500102807,Lubricate Rear Door Regulator,Modify,0.6,0.6
11500102907,Lubricate Rear Door Regulator (with Troque Adjust),Modify,0.6,0.6
11500103007,Lubricate Front Door Regulator (with Torque Adjust),Modify,0.6,0.6
11500201,Door Glass - RH - Front (Remove & Install),Remove and Install,0.42,0.42
11500202,Door Glass - RH - Front (Remove & Replace),Remove and Replace,0.3,0.3
11500301,Door Glass - LH - Rear (Remove & Install),Remove and Install,0.3,0.3
11500302,Door Glass - LH - Rear (Remove & Replace),Remove and Replace,0.36,0.36
11500401,Door Glass - RH - Rear (Remove & Install),Remove and Install,0.36,0.36
11500402,Door Glass - RH - Rear (Remove & Replace),Remove and Replace,0.36,0.36
11501006,Window Guide Rail - Front - LH,Retrofit,0.12,0.12
11501106,Window Guide Rail - Front - RH,Retrofit,0.12,0.12
11501201,Window Guide Rail - Rear - LH (Remove & Install),Remove and Install,0.1,0.1
11501202,Window Guide Rail - Rear - LH (Remove & Replace),Remove and Replace,0.12,0.12
11501301,Window Guide Rail - Rear - RH (Remove & Install),Remove and Install,0.1,0.1
11501302,Window Guide Rail - Rear - RH (Remove & Replace),Remove and Replace,0.12,0.12
11501908,Clean Up Broken Glass,Restore,0.75,0.75
11502001,Window Motor/Regulator Assembly - Front - LH (Remove & Install),Remove and Install,0.6,0.6
11502002,Window Motor/Regulator Assembly - Front - LH (Remove & Replace),Remove and Replace,0.6,0.6
11502101,Window Motor/Regulator Assembly - Front - RH (Remove & Install),Remove and Install,0.6,0.6
11502102,Window Motor/Regulator Assembly - Front - RH (Remove & Replace),Remove and Replace,0.6,0.6
11502201,Window Regulator - Rear - LH (Remove & Install),Remove and Install,0.54,0.54
11502202,Window Regulator - Rear - LH (Remove & Replace),Remove and Replace,0.54,0.54
11502301,Window Regulator - Rear - RH (Remove & Install),Remove and Install,0.54,0.54
11502302,Window Regulator - Rear - RH (Remove & Replace),Remove and Replace,0.54,0.54
11502501,Switch - Window - Driver (Remove & Install),Remove and Install,0.05,0.05
11502502,Switch - Window - Driver (Remove & Replace),Remove and Replace,0.18,0.18
11502701,Switch - Window - Front Passenger (Remove & Install),Remove and Install,0.1,0.1
11502702,Switch - Window - Front Passenger (Remove & Replace),Remove and Replace,0.12,0.12
11503001,Switch - Window - Rear - LH (Remove & Install),Remove and Install,0.2,0.2
11503002,Switch - Window - Rear - LH (Remove & Replace),Remove and Replace,0.12,0.12
11503101,Switch - Window - Rear - RH (Remove & Install),Remove and Install,0.2,0.2
11503102,Switch - Window - Rear - RH (Remove & Replace),Remove and Replace,0.12,0.12
11700004,Adjustment: Seal,Test/Adjust,0.2,0.2
11700301,Seal - Body - Side - Front - Primary - LH (Remove & Install),Remove and Install,0.18,0.18
11700302,Seal - Body - Side - Front - Primary - LH (Remove & Replace),Remove and Replace,0.18,0.18
11700401,Seal - Body - Side - Front - Primary - RH (Remove & Install),Remove and Install,0.18,0.18
11700402,Seal - Body - Side - Front - Primary - RH (Remove & Replace),Remove and Replace,0.18,0.18
11700501,Seal - Body - Side - Rear - Primary - LH (Remove & Install),Remove and Install,0.18,0.18
11700502,Seal - Body - Side - Rear - Primary - LH (Remove & Replace),Remove and Replace,0.18,0.18
11700601,Seal - Body - Side - Rear - Primary - RH (Remove & Install),Remove and Install,0.18,0.18
11700602,Seal - Body - Side - Rear - Primary - RH (Remove & Replace),Remove and Replace,0.18,0.18
11700801,Seal - B-Pillar Applique - LH (Remove & Install),Remove and Install,0.5,0.5
11700802,Seal - B-Pillar Applique - LH (Remove & Replace),Remove and Replace,0.6,0.6
11700901,Seal - B-Pillar Applique - RH (Remove & Install),Remove and Install,0.5,0.5
11700902,Seal - B-Pillar Applique - RH (Remove & Replace),Remove and Replace,0.6,0.6
11701001,Closeout Panel - Door - Front - LH (Remove & Install),Remove and Install,0.36,0.36
