id,code,name,workType,modelID,modelName,frt,chargedHours,procedureURL
37373,10011103,Fender Assembly Front RH Removal Refit And Paint - Painting-CN Only,Paint Work,36,2025+ Model Y,0.73,0.73,
37374,10011104,Fender Assembly Front RH Removal Refit And Paint - Polishing-CN Only,Paint Work,36,2025+ Model Y,0.5,0.5,
37897,10011105,Hood Assembly Replacement And Paint-CN Only,Paint Work,36,2025+ Model Y,3.18,3.18,
37898,10011106,Hood Assembly Replacement And Paint - Mechanical (Incl. Disassembly & Adjustment)-CN Only,Remove and Replace,36,2025+ Model Y,0.25,0.25,
37899,10011107,Hood Assembly Replacement And Paint - Sealer Spary-CN Only,Refinish,36,2025+ Model Y,0.76,0.76,
37901,10011109,Hood Assembly Replacement And Paint - Painting-CN Only,Paint Work,36,2025+ Model Y,0.85,0.85,
37902,10011110,Hood Assembly Replacement And Paint - Polishing-CN Only,Paint Work,36,2025+ Model Y,0.59,0.59,
37414,100111123,Putty filler (L)-CN Only,Refinish,36,2025+ Model Y,1.44,1.44,
37415,100111124,Steel Cosmetic (S)-CN Only,Repair,36,2025+ Model Y,1.0,1.0,
37416,100111125,Steel Cosmetic (M)-CN Only,Repair,36,2025+ Model Y,1.5,1.5,
37417,100111126,Steel Cosmetic (L)-CN Only,Repair,36,2025+ Model Y,2.5,2.5,
37418,100111127,Alumiunm Cosmetic (S)-CN Only,Repair,36,2025+ Model Y,1.0,1.0,
37419,100111128,Alumiunm Cosmetic (M)-CN Only,Repair,36,2025+ Model Y,1.5,1.5,
37420,100111129,Alumiunm Cosmetic (L)-CN Only,Repair,36,2025+ Model Y,2.5,2.5,
37904,10011113,Hood Assembly Removal Refit And Paint - Sealer Spary-CN Only,Refinish,36,2025+ Model Y,0.43,0.43,
37421,100111130,Alumiunm Cosmetic (XL)-CN Only,Repair,36,2025+ Model Y,3.0,3.0,
37422,100111131,Plastic cosmetic (S)-CN Only,Repair,36,2025+ Model Y,0.5,0.5,
37423,100111132,Plastic cosmetic (M)-CN Only,Repair,36,2025+ Model Y,1.0,1.0,
37424,100111133,Plastic cosmetic (L)-CN Only,Repair,36,2025+ Model Y,1.5,1.5,
43685,100111134,test ,Repair,36,2025+ Model Y,0.5,0.5,
37905,10011114,Hood Assembly Removal Refit And Paint - Sealer Sanding-CN Only,Refinish,36,2025+ Model Y,0.41,0.41,
37906,10011115,Hood Assembly Removal Refit And Paint - Painting-CN Only,Paint Work,36,2025+ Model Y,0.79,0.79,
37907,10011116,Hood Assembly Removal Refit And Paint - Polishing-CN Only,Paint Work,36,2025+ Model Y,0.54,0.54,
37919,10011117,Front Door RH Replacement And Paint-CN Only,Paint Work,36,2025+ Model Y,3.72,3.72,
