Code,Description,Work Type,Labor Hours,FRT
31104002,Air Suspension - Air Line LF (Remove & Replace),Remove and Replace,0.48,0.48
31104101,Air Suspension - Primary Air Lines Assy (Remove & Install),Remove and Install,3.8,3.8
31104102,Air Suspension - Primary Air Lines Assy (Remove & Replace),Remove and Replace,4.56,4.56
31104301,Air Line - Air Suspension - Reservoir to Compressor (Remove & Install),Remove and Install,0.85,0.85
31104302,Air Line - Air Suspension - Reservoir to Compressor (Remove & Replace),Remove and Replace,1.02,1.02
31104501,Air Line - Compressor to Valve Block  - Air Suspension (Remove & Install),Remove and Install,0.7,0.7
31104502,Air Line - Compressor to Valve Block  - Air Suspension (Remove & Replace),Remove and Replace,0.84,0.84
31104701,Air Line - Valve Block Intake/Exhaust - Air Suspension (Remove & Install),Remove and Install,0.72,0.72
31104702,Air Line - Valve Block Intake/Exhaust - Air Suspension (Remove & Replace),Remove and Replace,0.6,0.6
31104808,Line - Air Suspension (Repair),Restore,0.06,0.06
31105001,Active Damper - Front - LH (Remove & Install),Remove and Install,0.8,0.8
31105002,Active Damper - Front - LH (Remove & Replace),Remove and Replace,0.96,0.96
31105101,Active Damper - Front - RH (Remove & Install),Remove and Install,0.96,0.96
31105102,Active Damper - Front - RH (Remove & Replace),Remove and Replace,0.96,0.96
31105201,Cap - Air Spring Module - Front - LH (Remove & Install),Remove and Install,0.95,0.95
31105202,Cap - Air Spring Module - Front - LH (Remove & Replace),Remove and Replace,1.14,1.14
31105301,Cap - Air Spring Module - Front - RH (Remove & Install),Remove and Install,0.95,0.95
31105302,Cap - Air Spring Module - Front - RH (Remove & Replace),Remove and Replace,1.14,1.14
31106001,Active Damper - Rear - LH (Remove & Install),Remove and Install,1.2,1.2
31106002,Active Damper - Rear - LH (Remove & Replace),Remove and Replace,1.2,1.2
31106101,Active Damper - Rear - RH (Remove & Install),Remove and Install,1.2,1.2
31106102,Active Damper - Rear - RH (Remove & Replace),Remove and Replace,1.2,1.2
31107101,Pressure Valve - Air Spring Module - Front - LH (Remove & Install),Remove and Install,0.45,0.45
31107102,Pressure Valve - Air Spring Module - Front - LH (Remove & Replace),Remove and Replace,0.54,0.54
31107201,Pressure Valve - Air Spring Module - Front - RH (Remove & Install),Remove and Install,0.45,0.45
31107202,Pressure Valve - Air Spring Module - Front - RH (Remove & Replace),Remove and Replace,0.54,0.54
31108101,Boot - Air Spring Module - Front - LH (Remove & Install),Remove and Install,0.85,0.85
31108102,Boot - Air Spring Module - Front - LH (Remove & Replace),Remove and Replace,1.02,1.02
31108201,Boot - Air Spring Module - Front - RH (Remove & Install),Remove and Install,0.85,0.85
31108202,Boot - Air Spring Module - Front - RH (Remove & Replace),Remove and Replace,1.02,1.02
31108301,Superbeam (Remove & Install),Remove and Install,0.7,0.7
31108302,Superbeam (Remove & Replace),Remove and Replace,0.84,0.84
31151001,Spring and Damper Assembly - Front - LH (Remove & Install),Remove and Install,0.42,0.42
31151002,Spring and Damper Assembly - Front - LH (Remove & Replace),Remove and Replace,0.42,0.42
