Universal,Model,Model_ID,Code,Description,Work_Type,Labor_Hours,FRT
NO,Model X,19,21214202,Chime - Liftgate (Remove & Replace),Remove and Replace,0.12,0.12
NO,Model X,19,21220102,Tuner - FM / HD / XM (Remove & Replace),Remove and Replace,0.12,0.12
NO,Model X,19,21250102,Microphone - LH (Remove & Replace),Remove and Replace,0.24,0.24
NO,Model X,19,21250202,Microphone - RH (Remove & Replace),Remove and Replace,0.24,0.24
NO,Model X,19,21251002,Antenna - Bluetooth (Remove & Replace),Remove and Replace,0.9,0.9
NO,Model X,19,21260602,USB Hub - Center Console - Rear (Remove & Replace),Remove and Replace,0.24,0.24
NO,Model X,19,21261002,Dock Connector - Telephone-USB - Center Console (Remove & Replace),Remove and Replace,0.06,0.06
NO,Model X,19,21300012,Noise Filter - Ground - Antenna (Remove & Replace),Remove and Replace,0.12,0.12
NO,Model X,19,21300502,Noise Filter - 12V - Antenna (Remove & Replace),Remove and Replace,0.12,0.12
NO,Model X,19,21300602,Antenna Amplifier - AM/FM and RKE (Remove & Replace),Remove and Replace,0.06,0.06
NO,Model X,19,21300702,Antenna Amplifier - FM (Remove & Replace),Remove and Replace,0.12,0.12
NO,Model X,19,21301002,RF Filter - LH (Remove & Replace),Remove and Replace,0.18,0.18
NO,Model X,19,21301102,RF Filter - RH (Remove & Replace),Remove and Replace,0.54,0.54
NO,Model X,19,21311002,Antenna - Satellite Radio (Remove & Replace),Remove and Replace,2.34,2.34
NO,Model X,19,21320102,Antenna - GPS  (Remove & Replace),Remove and Replace,0.18,0.18
NO,Model X,19,21330102,Antenna - Wi-Fi (Remove & Replace),Remove and Replace,0.6,0.6
NO,Model X,19,21331102,Antenna - MIMO - LH (Remove and Replace),Remove and Replace,0.66,0.66
NO,Model X,19,21350102,Antenna - GSM - LH (Remove & Replace),Remove and Replace,0.6,0.6
NO,Model X,19,21350202,Antenna - GSM - RH (Remove & Replace),Remove and Replace,0.6,0.6
NO,Model X,19,30011102,Skidplate - Rear (Remove & Replace),Remove and Replace,0.54,0.54
NO,Model X,19,31001500,EPAS Alignment Check,Test/Adjust,0.12,0.12
YES,Model X,19,31002300,Four Wheel Alignment Check and Adjust,Test/Adjust,1.32,1.32
NO,Model X,19,31030102,Knuckle - Suspension - Rear - LH (Remove & Replace),Remove and Replace,1.44,1.44
NO,Model X,19,31030202,Knuckle - Suspension - Rear - RH (Remove & Replace),Remove and Replace,1.44,1.44
