Model,Model_ID,Code,Description,Work_Type,Labor_Hours,FRT
Model 3,35,10011084,Fender Assembly Front LH Replacement And Paint - Sealer Sanding-CN Only,Refinish,0.64,0.64
Model 3,35,10011085,Fender Assembly Front LH Replacement And Paint - Painting-CN Only,Paint Work,0.71,0.71
Model 3,35,10011086,Fender Assembly Front LH Replacement And Paint - Polishing-CN Only,Paint Work,0.47,0.47
Model 3,35,10011087,Fender Assembly Front LH Removal Refit And Paint-CN Only,Paint Work,2.8,2.8
Model 3,35,10011089,Fender Assembly Front LH Removal Refit And Paint - Sealer Spary-CN Only,Refinish,0.33,0.33
Model 3,35,10011090,Fender Assembly Front LH Removal Refit And Paint - Sealer Sanding-CN Only,Refinish,0.33,0.33
Model 3,35,10011091,Fender Assembly Front LH Removal Refit And Paint - Painting-CN Only,Paint Work,0.71,0.71
Model 3,35,10011092,Fender Assembly Front LH Removal Refit And Paint - Polishing-CN Only,Paint Work,0.47,0.47
Model 3,35,10011093,Fender Assembly Front RH Replacement And Paint-CN Only,Paint Work,3.5,3.5
Model 3,35,10011094,Fender Assembly Front RH Replacement And Paint - Mechanical (Incl. Disassembly & Adjustment)-CN Only,Remove and Replace,1.02,1.02
Model 3,35,10011095,Fender Assembly Front RH Replacement And Paint - Sealer Spary-CN Only,Refinish,0.66,0.66
Model 3,35,10011096,Fender Assembly Front RH Replacement And Paint - Sealer Sanding-CN Only,Refinish,0.64,0.64
Model 3,35,10011097,Fender Assembly Front RH Replacement And Paint - Painting-CN Only,Paint Work,0.71,0.71
Model 3,35,10011098,Fender Assembly Front RH Replacement And Paint - Polishing-CN Only,Paint Work,0.47,0.47
Model 3,35,10011099,Fender Assembly Front RH Removal Refit And Paint-CN Only,Paint Work,2.8,2.8
Model 3,35,10011100,Fender Assembly Front RH Removal Refit And Paint - Mechanical (Incl. Disassembly & Adjustment)-CN Only,Remove and Install,0.96,0.96
Model 3,35,10011103,Fender Assembly Front RH Removal Refit And Paint - Painting-CN Only,Paint Work,0.71,0.71
Model 3,35,10011104,Fender Assembly Front RH Removal Refit And Paint - Polishing-CN Only,Paint Work,0.47,0.47
Model 3,35,10011105,Hood Assembly Replacement And Paint-CN Only,Paint Work,3.09,3.09
